author/headline,author/profile_url,author/username,full_urn,media/images/6/height,media/images/6/url,media/images/6/width,media/images/7/height,media/images/7/url,media/images/7/width,post_type,posted_at/date,posted_at/timestamp,reshared_post/media/images/1/height,reshared_post/media/images/1/url,reshared_post/media/images/1/width,reshared_post/media/images/2/height,reshared_post/media/images/2/url,reshared_post/media/images/2/width,reshared_post/media/images/3/height,reshared_post/media/images/3/url,reshared_post/media/images/3/width,stats/celebrate,stats/comments,stats/funny,stats/insight,stats/like,stats/love,stats/reposts,stats/support,stats/total_reactions,text,url,author/full_name,processed_text,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_compound,sentiment_label
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:ugcPost:7352915059913691136,,,,,,,quote,2025-07-21 06:19:20,1753071560997,1365.0,https://media.licdn.com/dms/image/v2/D4D22AQG5oO5j8GwAww/feedshare-shrink_2048_1536/B4DZgdOVWMHAAo-/0/1752836955167?e=1766620800&v=beta&t=laMmOhgLL18uWZ_kWD9OOlK2Da5GM5YskXn8ewsveIk,2048.0,1365.0,https://media.licdn.com/dms/image/v2/D4D22AQGTzUPgUzGm5w/feedshare-shrink_2048_1536/B4DZgdOVWtHwAo-/0/1752836955678?e=1766620800&v=beta&t=YBZnCfmvUISEyXQTyPD4OyctZGEYYalRtqRgL7MH7fY,2048.0,1365.0,https://media.licdn.com/dms/image/v2/D4D22AQFXc90E59pE2g/feedshare-shrink_2048_1536/B4DZgdOVWxHYAo-/0/1752836954942?e=1766620800&v=beta&t=Wag3rSDj5xgbG120txuEnWQ5uRqBqLgn0KrnWoB1_EQ,2048.0,0,6,0,0,71,1,0,1,73,"Founders do not need more playbooks. They need real conversations.

That is what the Sharrp Learning Series is built for. A space where experiences are shared honestly, questions are encouraged, and learning is collective.

Thank you to everyone who made the time. At Sharrp, we continue to believe that listening, learning, and staying curious is the best way to grow.


#India #Startups #Future #Growth #Mindset #Success #SharrpCommunity",https://www.linkedin.com/posts/rishabhmariwala_india-startups-motivation-activity-7352915060576387072-ye_k?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,founders do not need more playbooks they need real conversations that is what the sharrp learning series is built for a space where experiences are shared honestly questions are encouraged and learning is collective thank you to everyone who made the time at sharrp we continue to believe that listening learning and staying curious is the best way to grow india startups future growth mindset success sharrpcommunity,0.0,0.714,0.286,0.969,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:ugcPost:7351812140418187265,,,,,,,quote,2025-07-18 05:16:44,1752808604548,,,,,,,,,,1,12,0,6,72,4,5,6,89,"What feels normal today may not feel acceptable tomorrow.

That is the discomfort this video of Nuseir Yassin stirred up.

It holds up a mirror to the way we justify what we are used to. Whether it is tradition or taste, we rarely pause to question the system behind it.

This is the same discomfort that made me reflect on my own food choices.

Veganism was never about being perfect. It began with a simple thought of what am I supporting when I choose convenience over compassion.

We all evolve at our own pace. That is okay.

The important thing is to keep asking the harder questions. Especially the ones we are used to avoiding.


Nas Daily
#life #future #choices #impact",https://www.linkedin.com/posts/rishabhmariwala_i-talked-to-the-largest-slave-owner-in-the-activity-7351812141290614784--oUT?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,what feels normal today may not feel acceptable tomorrow that is the discomfort this video of nuseir yassin stirred up it holds up a mirror to the way we justify what we are used to whether it is tradition or taste we rarely pause to question the system behind it this is the same discomfort that made me reflect on my own food choices veganism was never about being perfect it began with a simple thought of what am i supporting when i choose convenience over compassion we all evolve at our own pace that is okay the important thing is to keep asking the harder questions especially the ones we are used to avoiding nas daily life future choices impact,0.099,0.827,0.074,-0.5204,Negative
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:ugcPost:7350753407122444288,,,,,,,regular,2025-07-15 07:09:42,1752556182999,,,,,,,,,,6,25,0,2,284,14,6,2,308,"It was a privilege to speak at this year’s Vegan India Conference in Mumbai. I have had the opportunity to back several purpose-driven businesses. This platform reinforced why the plant-based movement in India is gaining powerful momentum.

The Startup Ignite pitch stage was a highlight. Seven impressive startups presented their ideas to a jury of aligned investors. I had the opportunity to be part of that jury along with Siddharth Kothari, Hiren Kara, Ruchika Jain Ⓥ, Punit Mehta, Mudit Jain, Karan Mehta and Yash Biyani.

Congratulations to the two startups recognised for their pitch quality and clarity of thought. ProMeat and Hemptyful stood out for their conviction and clarity. Each of the other finalists — Oatey, nattier!, CURRY N PEPPER LLC, Tempeh Di Mumbai and The Green Meat brought something original to the table and left a mark.

The energy in the room made one thing clear. India’s plant-based innovation ecosystem is growing not just in size but in maturity. The ideas are sharper. The intent is deeper. The talent is real.

Grateful to Palak Mehta and the organisers for creating a space where ideas, capital and purpose can meet meaningfully.


#India #Vegan #Startups #Funding #Growth #Future #Impact",https://www.linkedin.com/posts/rishabhmariwala_india-vegan-startups-activity-7350753408577945603-7vQK?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,it was a privilege to speak at this years vegan india conference in mumbai i have had the opportunity to back several purposedriven businesses this platform reinforced why the plantbased movement in india is gaining powerful momentum the startup ignite pitch stage was a highlight seven impressive startups presented their ideas to a jury of aligned investors i had the opportunity to be part of that jury along with siddharth kothari hiren kara ruchika jain punit mehta mudit jain karan mehta and yash biyani congratulations to the two startups recognised for their pitch quality and clarity of thought promeat and hemptyful stood out for their conviction and clarity each of the other finalists oatey nattier curry n pepper llc tempeh di mumbai and the green meat brought something original to the table and left a mark the energy in the room made one thing clear indias plantbased innovation ecosystem is growing not just in size but in maturity the ideas are sharper the intent is deeper the talent is real grateful to palak mehta and the organisers for creating a space where ideas capital and purpose can meet meaningfully india vegan startups funding growth future impact,0.0,0.803,0.197,0.9854,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7349293880829210624,,,,,,,regular,2025-07-11 06:30:04,1752208204467,,,,,,,,,,1,42,0,2,201,6,0,2,212,"Growth is not a strategy. It is an outcome.

We have seen teams chase topline without fixing product or profitability.

Growth that is not backed by insight is just noise.

What does your customer actually want?
Why do they come back?
What blocks them from doing more?

Solve that.

When the engine is strong, scale does not break you.
It builds you.


#Startups #Growth #Future #Scalingup",https://www.linkedin.com/posts/rishabhmariwala_startups-growth-future-activity-7349293880829210624-fBUC?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,growth is not a strategy it is an outcome we have seen teams chase topline without fixing product or profitability growth that is not backed by insight is just noise what does your customer actually want why do they come back what blocks them from doing more solve that when the engine is strong scale does not break you it builds you startups growth future scalingup,0.039,0.741,0.22,0.9121,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7348553994799083520,,,,,,,regular,2025-07-09 05:30:01,1752031801891,,,,,,,,,,0,42,0,8,156,9,2,0,173,"Pricing is brand strategy in disguise.

We have seen founders underprice to win volume.
But end up training their customer to expect discounts.

Price says how confident you are.
It says how you value your time, your product, your promise.

Cheap attracts the deal hunter.
Clear value attracts loyalty.

Do not sell yourself short.
Price with intent.



#Product #Pricing #Strategy #Loyalty",https://www.linkedin.com/posts/rishabhmariwala_product-pricing-strategy-activity-7348553994799083520-bDmc?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,pricing is brand strategy in disguise we have seen founders underprice to win volume but end up training their customer to expect discounts price says how confident you are it says how you value your time your product your promise cheap attracts the deal hunter clear value attracts loyalty do not sell yourself short price with intent product pricing strategy loyalty,0.017,0.572,0.41,0.9885,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7347829223660650496,,,,,,,regular,2025-07-07 05:30:02,1751859002986,,,,,,,,,,2,51,1,18,321,12,2,9,363,"Hiring senior talent will not save a broken product.

We have seen founders bring in big names hoping they will fix the core.

But no one can sell something the market does not want.

Great execution cannot compensate for poor product-market fit.

Before you build the team, build clarity.
- What is the pain point?
- Why are you the one to solve it?
- Who is willing to pay for it?

The best talent will amplify your direction.
It cannot create one for you.


#Startups #Hiring #Culture #Jobs #Retention #Strategy",https://www.linkedin.com/posts/rishabhmariwala_startups-hiring-culture-activity-7347829223660650496-mgeI?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,hiring senior talent will not save a broken product we have seen founders bring in big names hoping they will fix the core but no one can sell something the market does not want great execution cannot compensate for poor productmarket fit before you build the team build clarity what is the pain point why are you the one to solve it who is willing to pay for it the best talent will amplify your direction it cannot create one for you startups hiring culture jobs retention strategy,0.159,0.606,0.234,0.8673,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7346742075490467840,,,,,,,regular,2025-07-04 05:30:06,1751599806664,,,,,,,,,,13,183,1,30,1889,61,8,9,2003,"In family offices, the asset is not capital. It is conviction.

We have seen portfolios with access to the best deals underperform.
Not due to lack of opportunity.
But due to lack of clarity.

The best family offices have a lens.
They know where they want to play.
They build depth before scale.
They say no often and early.

Capital is a commodity.
Conviction is the differentiator.


Sharrp Ventures | Harsh Mariwala Investment Office
#India #Startups #FamilyOffice #Strategy #Future",https://www.linkedin.com/posts/rishabhmariwala_india-startups-familyoffice-activity-7346742075490467840-PJGL?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,in family offices the asset is not capital it is conviction we have seen portfolios with access to the best deals underperform not due to lack of opportunity but due to lack of clarity the best family offices have a lens they know where they want to play they build depth before scale they say no often and early capital is a commodity conviction is the differentiator sharrp ventures harsh mariwala investment office india startups familyoffice strategy future,0.069,0.679,0.251,0.9374,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7346017279953768448,,,,,,,regular,2025-07-02 05:30:01,1751427001942,,,,,,,,,,5,57,0,15,369,28,4,7,424,"Founder energy sets the pace. Founder behaviour sets the culture.

We have seen teams mirror the founder’s response to chaos, deadlines, and decisions.

If you are always reacting, so will they.
If you chase perfection, they will fear failure.
If you move with focus, they will find direction.

Your mindset is not a side note.

It is company policy in disguise.



#Entrepreneurship #Startups #Mindset #Culture #Success",https://www.linkedin.com/posts/rishabhmariwala_entrepreneurship-startups-mindset-activity-7346017279953768448-mZse?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,founder energy sets the pace founder behaviour sets the culture we have seen teams mirror the founders response to chaos deadlines and decisions if you are always reacting so will they if you chase perfection they will fear failure if you move with focus they will find direction your mindset is not a side note it is company policy in disguise entrepreneurship startups mindset culture success,0.153,0.728,0.119,-0.4019,Negative
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7345314241937035264,,,,,,,regular,2025-06-30 06:56:24,1751259384617,,,,,,,,,,3,65,0,14,342,10,2,4,373,"Distribution is not a last-mile problem. It is a day-one question.

We have seen D2C brands with beautiful products and poor visibility.
Waiting to figure out distribution after launch is a luxury most cannot afford.

Start with where your customer already is.
Online or offline, through partners or direct.

Scale is not about reach. It is about access.
Before you finalise the packaging, finalise the path.


#India #Startups #Growth #Strategy #Distribution",https://www.linkedin.com/posts/rishabhmariwala_india-startups-growth-activity-7345314241937035264-ILZI?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,distribution is not a lastmile problem it is a dayone question we have seen dc brands with beautiful products and poor visibility waiting to figure out distribution after launch is a luxury most cannot afford start with where your customer already is online or offline through partners or direct scale is not about reach it is about access before you finalise the packaging finalise the path india startups growth strategy distribution,0.074,0.811,0.115,0.6229,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7343480568564613120,,,,,,,regular,2025-06-25 05:30:02,1750822202817,,,,,,,,,,2,74,0,10,380,17,7,13,422,"Scale does not fix broken processes. It multiplies them.

If your order fulfillment is erratic at 100 orders, it will collapse at 1,000.

We have seen brands pour money into marketing, expecting process issues to disappear with size.

Growth is an amplifier. Not a repair tool. Fix before you fuel.


#India #Startups #Consumer #Growth",https://www.linkedin.com/posts/rishabhmariwala_india-startups-consumer-activity-7343480568564613120-vqop?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,scale does not fix broken processes it multiplies them if your order fulfillment is erratic at orders it will collapse at we have seen brands pour money into marketing expecting process issues to disappear with size growth is an amplifier not a repair tool fix before you fuel india startups consumer growth,0.087,0.782,0.132,0.3927,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7342755787099795457,,,,,,,regular,2025-06-23 05:30:01,1750649401450,,,,,,,,,,3,68,0,8,333,12,7,2,358,"Distribution is the differentiator nobody talks about.

Product-market fit means nothing if the product is not where the customer shops.

We have seen high-potential brands stall because they underestimated distribution modern trade, GT, D2C logistics, or export ops.

If your customer cannot find you, you do not exist.

Visibility is not virality. It is placement.


#Startups #Distribution #Growth #Success",https://www.linkedin.com/posts/rishabhmariwala_startups-distribution-growth-activity-7342755787099795457-9FOS?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,distribution is the differentiator nobody talks about productmarket fit means nothing if the product is not where the customer shops we have seen highpotential brands stall because they underestimated distribution modern trade gt dc logistics or export ops if your customer cannot find you you do not exist visibility is not virality it is placement startups distribution growth success,0.058,0.782,0.161,0.7906,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7341668646458425345,,,,,,,regular,2025-06-20 05:30:06,1750390206923,,,,,,,,,,5,130,0,12,1116,40,12,24,1197,"The first ten hires shape the next hundred.
Culture does not begin with a deck.
It begins with who you let into the room.

We have seen early teams set the tone on speed, on standards, on sanity.
The wrong early hire costs more than a delayed launch.

Team is your first product.
Build that right.


#Startups #Culture #Hiring #Retention #Success",https://www.linkedin.com/posts/rishabhmariwala_startups-culture-hiring-activity-7341668646458425345-DYRt?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,the first ten hires shape the next hundred culture does not begin with a deck it begins with who you let into the room we have seen early teams set the tone on speed on standards on sanity the wrong early hire costs more than a delayed launch team is your first product build that right startups culture hiring retention success,0.081,0.862,0.057,-0.1477,Negative
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7340943862187593729,,,,,,,regular,2025-06-18 05:30:04,1750217404887,,,,,,,,,,1,55,0,16,301,12,2,2,332,"There is no shortcut to margin discipline.

You can discount to acquire.
But you cannot discount your way to profit.

We have seen brands grow top-line and bleed all the way to Series B.
Not because there is no demand but because unit economics was always a footnote.

Profitability is not a milestone. It is a mindset.


#Startups #Growth #Profit #Mindset",https://www.linkedin.com/posts/rishabhmariwala_startups-growth-profit-activity-7340943862187593729-TS7e?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,there is no shortcut to margin discipline you can discount to acquire but you cannot discount your way to profit we have seen brands grow topline and bleed all the way to series b not because there is no demand but because unit economics was always a footnote profitability is not a milestone it is a mindset startups growth profit mindset,0.088,0.715,0.197,0.8625,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7340219089929285632,,,,,,,regular,2025-06-16 05:30:05,1750044605715,,,,,,,,,,1,67,0,3,289,13,5,10,316,"Consumer trust is not built in campaigns. It is built in complaints.

The real test of your brand is not when everything works.
It is how you respond when something goes wrong.

Refunds. Replacements. Real conversations.

We have seen startups whose customers return after a bad experience only because the resolution felt honest.

Retention is not about rewards.
It is about respect.


#Startups #Culture #Customer #Brands #Feedback",https://www.linkedin.com/posts/rishabhmariwala_startups-culture-customer-activity-7340219089929285632-YRjH?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,consumer trust is not built in campaigns it is built in complaints the real test of your brand is not when everything works it is how you respond when something goes wrong refunds replacements real conversations we have seen startups whose customers return after a bad experience only because the resolution felt honest retention is not about rewards it is about respect startups culture customer brands feedback,0.147,0.732,0.12,-0.2856,Negative
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7339131909488193536,,,,,,,regular,2025-06-13 05:30:01,1749785401699,,,,,,,,,,0,46,0,9,224,8,3,3,244,"Brand recall is a function of operational discipline.
It is easy to be visible.
Harder to be dependable.

Inconsistency kills more early brands than competition does.
Delayed delivery. Broken packaging. Inventory gaps. Wrong variants.

The most loved brands are not always the most hyped.
They are the most reliable.
You can spend crores on ads.
But a missed delivery erases all of it.


#India #Strategy #Startups #Brands #Success",https://www.linkedin.com/posts/rishabhmariwala_india-strategy-startups-activity-7339131909488193536-Hg2o?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,brand recall is a function of operational discipline it is easy to be visible harder to be dependable inconsistency kills more early brands than competition does delayed delivery broken packaging inventory gaps wrong variants the most loved brands are not always the most hyped they are the most reliable you can spend crores on ads but a missed delivery erases all of it india strategy startups brands success,0.136,0.742,0.123,0.2492,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7338407138114920448,,,,,,,regular,2025-06-11 05:30:02,1749612602738,,,,,,,,,,8,102,0,36,856,33,3,4,937,"Your CAC is not too high. Your LTV is too low.

Spending ₹600 to acquire a customer is not the problem.

Getting only ₹700 over 18 months is.

The best brands do not reduce CAC.
They increase AOV.
They drive repeat.
They upsell, cross-sell, build habit.

We have seen founders obsess over marketing costs but ignore the onboarding experience.

LTV is not a function of time.
It is a function of trust.


#India #Startups #Insights #Consumerbrands",https://www.linkedin.com/posts/rishabhmariwala_india-startups-insights-activity-7338407138114920448-DagC?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,your cac is not too high your ltv is too low spending to acquire a customer is not the problem getting only over months is the best brands do not reduce cac they increase aov they drive repeat they upsell crosssell build habit we have seen founders obsess over marketing costs but ignore the onboarding experience ltv is not a function of time it is a function of trust india startups insights consumerbrands,0.079,0.791,0.13,0.6161,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7337682371900510208,,,,,,,regular,2025-06-09 05:30:05,1749439805007,,,,,,,,,,3,88,0,15,545,25,3,10,598,"Innovation is not launching 10 SKUs. It is making 1 SKU matter.

Consumers are not overwhelmed by options. They are exhausted by noise.

In early-stage consumer brands, more products often mean less focus. We have seen founders unlock 80% of revenue from 20% of the portfolio if not less.

The winners?

The SKUs that are stocked right, priced right, and deeply understood by the customer.

Innovation is not doing more.

It is doing sharper.


#India #Startups #Innovation #Success",https://www.linkedin.com/posts/rishabhmariwala_india-startups-innovation-activity-7337682371900510208-0dsD?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,innovation is not launching skus it is making sku matter consumers are not overwhelmed by options they are exhausted by noise in earlystage consumer brands more products often mean less focus we have seen founders unlock of revenue from of the portfolio if not less the winners the skus that are stocked right priced right and deeply understood by the customer innovation is not doing more it is doing sharper india startups innovation success,0.071,0.78,0.149,0.7652,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7336672347178827777,,,,,,,regular,2025-06-06 10:36:36,1749198996348,,,,,,,,,,4,52,0,14,397,19,6,1,435,"Growth looks like a curve. Liquidity looks like a straight line.

Startups celebrate GMV.
Investors check burn.

In consumer brands, high growth often hides low solvency.

You are selling more. But are you collecting faster than you are spending?

We have seen brands grow 3x in revenue but be 5 days away from running out of cash.

If money is always tied up in inventory, receivables, and ad spends, the business is sprinting with a stone in its shoe.

Scale is not survival. Liquidity is.

#India #Startups #Growth #ConsumerBrands #CashFlow",https://www.linkedin.com/posts/rishabhmariwala_india-startups-growth-activity-7336672347178827777-gIeg?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,growth looks like a curve liquidity looks like a straight line startups celebrate gmv investors check burn in consumer brands high growth often hides low solvency you are selling more but are you collecting faster than you are spending we have seen brands grow x in revenue but be days away from running out of cash if money is always tied up in inventory receivables and ad spends the business is sprinting with a stone in its shoe scale is not survival liquidity is india startups growth consumerbrands cashflow,0.031,0.815,0.153,0.8555,Positive
